seed,condition,pws_final_half,pws_slope,pws_mean,pws_std,pws_q1,pws_q2,pws_q3,pws_q4
51,control,0.75967385147605,7.513020733773881e-06,0.7578069018000843,0.038047264496295786,,,,
49,treatment,0.768115944844136,-2.939530958769974e-05,0.7826765658223573,0.05297884730946367,0.8023173973928844,0.8753511652160886,0.9462920414997631,0.9019318871522399
50,treatment,0.7882647324992056,-5.830060305690732e-07,0.7905869387578094,0.04935049896353538,0.8071241283162945,0.8767252254755586,0.9504164805351184,0.9137638177235519
52,control,0.7583759863635376,4.259083763517088e-06,0.7570012767161067,0.03815371365627329,,,,
51,treatment,0.7734023779159556,-9.668521992427264e-05,0.7841463652397994,0.05250659056416552,0.8140871306582675,0.8830131914220816,0.9452256155672608,0.9037129170530681
53,control,0.7609649176722224,6.0624085999682935e-06,0.7588185394406948,0.03860256203018441,,,,
54,control,0.7588277147413875,-8.71423750261242e-07,0.7578161144647348,0.03830729458449115,,,,
52,treatment,0.7807213664437714,5.994094328004802e-06,0.7866951822054282,0.05258421752342556,0.8221566599751431,0.8852955694949453,0.9440378826006918,0.9022470900043861
53,treatment,0.7862219231749357,-3.595928031034027e-05,0.7929551113178195,0.051304573907645944,0.8102507266584817,0.8768550595078802,0.9509678876484525,0.911502919741278
55,control,0.7583536181564862,-7.547804204664731e-06,0.7584287008067049,0.03776184382552927,,,,
54,treatment,0.7966783506015653,4.7949754328308134e-05,0.7965983685960251,0.054650538506155505,0.8086054957348872,0.8702803557001585,0.9538819124911251,0.9164182579013784
56,control,0.7587189663015853,-4.166257846889751e-06,0.7581733854701368,0.03883375350658728,,,,
55,treatment,0.7842639717574728,-5.88787745736868e-05,0.7940536255969618,0.052797796548602734,0.809442616939397,0.8684203823485965,0.9480705667206896,0.9104027871559186
57,control,0.7580495621050751,-5.89712637481086e-07,0.7570321624238194,0.03855098786474501,,,,
58,control,0.7588732929934732,8.091419782789625e-06,0.7566148023206942,0.03804975955361102,,,,
56,treatment,0.7959203170310517,1.0446784808609536e-05,0.800567673110233,0.04812118424227357,0.8172571879524222,0.8767794972164793,0.954958196249568,0.9195762727738495
57,treatment,0.7721632135002429,-5.5848166297103344e-05,0.7812463100928719,0.05248218959529358,0.8105055525559602,0.8736838569608315,0.9450487391114016,0.9033294626452845
59,control,0.7591826649551854,-1.6977982131115467e-06,0.7576565990795725,0.03813178704270973,,,,
58,treatment,0.772433917561817,-1.6285032955828026e-05,0.7866300065969449,0.05214562616289336,0.8157061085507413,0.8848369760852504,0.9454737049652132,0.9007295947414643
60,control,0.7591853831682023,-1.4653416733896994e-06,0.7577250850320816,0.03816790640690885,,,,
59,treatment,0.7696712576792893,-3.508352028025189e-05,0.7797383855937035,0.05146139921012666,0.8137290063559326,0.8811055050747247,0.943036619840748,0.8994781488904847
61,control,0.7573704318037627,-3.4358815572751027e-06,0.7572987184799541,0.03800023605604854,,,,
60,treatment,0.7738043277885552,2.8548908518384833e-05,0.7792340830078047,0.05251568476429584,0.7969682478009038,0.877433835520565,0.9488646590727003,0.9079743502427526
62,control,0.7623938018580676,1.5690443202972644e-05,0.7586582276328203,0.03835865719331777,,,,
63,control,0.7593099009474323,1.1763742851269949e-05,0.7566857914911234,0.03794585802644178,,,,
61,treatment,0.7778126268300616,-9.922679643065328e-05,0.7909453821103819,0.049839464566921905,0.8046827303770819,0.8699910822521405,0.9495308226199337,0.9105920686646577
64,control,0.7568546609274724,-8.662781200430788e-06,0.7569346873947929,0.03789386218178357,,,,
62,treatment,0.7869273300677736,9.102731849456175e-05,0.7832149351655007,0.05050015008408638,0.8071599654014266,0.8741010935878433,0.9519533371764941,0.9141670099555935
63,treatment,0.7916711697148738,3.324998805818536e-06,0.7968328589992664,0.04842282342969827,0.8212538537941552,0.886042532908206,0.94926851285406,0.9102770827411606
65,control,0.7583278288359184,-2.812617892724124e-06,0.7572385855155845,0.03831855123041698,,,,
64,treatment,0.7772204373503295,-6.766859852293399e-05,0.7915876159357985,0.05044374940595783,0.8067536944731311,0.8723729851449471,0.9466773430374845,0.9042527551791966
66,control,0.7588179777059643,2.300641046192924e-06,0.7566847403480079,0.0384038693306134,,,,
65,treatment,0.791348204530659,3.3496617389502084e-05,0.79211987354872,0.0511581139042542,0.8189278869943555,0.8792054772570194,0.9504751311295485,0.9106795116148166
67,control,0.7586890953888464,-6.704561786050169e-06,0.7577496644788003,0.03811532371767539,,,,
